time,x,y,z,clock_bias_m,num_sats,satellites,rms_residual_m,state_vec,lat_deg,lon_deg,alt_m,velocity_mps
2026-03-22 06:45:08.416831+00:00,4436987.88575211,3085463.3944070623,3376454.2181211114,-293.6470686814857,5,"E07,E15,E21,E29,E34",36.36990008824047,[ 4.43698789e+06  3.08546339e+06  3.37645422e+06 -2.93647069e+02],32.168948982632244,34.814594861342194,281.20392104797065,
2026-03-22 06:45:24.416831+00:00,4436978.445654704,3085453.406105746,3376459.4186148224,-274.7013420017262,5,"E07,E15,E21,E29,E34",37.64508470399373,[ 4.43697845e+06  3.08545341e+06  3.37645942e+06 -2.74701342e+02],32.1690532680843,34.814565061018214,272.58512778766453,0.9184028618215402
2026-03-22 06:45:32.416831+00:00,4436999.433449412,3085469.353918033,3376463.3598681926,-268.6225078355958,5,"E07,E15,E21,E29,E34",31.37904878405706,[ 4.43699943e+06  3.08546935e+06  3.37646336e+06 -2.68622508e+02],32.168956910141425,34.814576837674515,296.9764785422012,3.331557728654274
2026-03-22 06:45:44.416831+00:00,4436994.591293866,3085454.707652906,3376473.1657095402,-313.5218214395821,5,"E07,E15,E21,E29,E34",36.568999959645495,[ 4.43699459e+06  3.08545471e+06  3.37647317e+06 -3.13521821e+02],32.169090992677106,34.81447866347213,291.7539979610592,1.5232323020926533
2026-03-22 06:45:46.416831+00:00,4433729.190419421,3083516.416859694,3373531.887078158,-3243.926567609917,5,"E07,E15,E21,E29,E34",316.8110823014499,[ 4.43372919e+06  3.08351642e+06  3.37353189e+06 -3.24392657e+03],32.16482079030011,34.81737434485544,-4480.280244759284,2401.610608388867
2026-03-22 06:45:48.416831+00:00,4437018.894643198,3085473.096939465,3376485.724347642,-303.12223263966706,5,"E07,E15,E21,E29,E34",29.68151409663493,[ 4.43701889e+06  3.08547310e+06  3.37648572e+06 -3.03122233e+02],32.16904065152903,34.81449162305491,324.21749256178737,2417.4317688977217
2026-03-22 06:45:54.416831+00:00,4437034.389494191,3085478.042635911,3376505.0641708835,-311.94473812877334,5,"E07,E15,E21,E29,E34",26.65469490882484,[ 4.43703439e+06  3.08547804e+06  3.37650506e+06 -3.11944738e+02],32.16911364222703,34.814440884355015,347.6728932596743,4.211687058530337
2026-03-22 06:45:56.416831+00:00,4437021.2748989,3085470.3285516393,3376476.7148184874,-335.0315863528507,5,"E07,E15,E21,E29,E34",31.045974144868886,[ 4.43702127e+06  3.08547033e+06  3.37647671e+06 -3.35031586e+02],32.16897008640085,34.81445311968316,319.73695880454034,16.087149274207306
2026-03-22 06:45:58.416831+00:00,4434242.865651152,3083818.927873514,3373932.3152510934,-2836.3618733339376,5,"E07,E15,E21,E29,E34",457.5091304626439,[ 4.43424287e+06  3.08381893e+06  3.37393232e+06 -2.83636187e+03],32.16502397432633,34.81689767140121,-3763.9060699408874,2056.7359642305178
2026-03-22 06:46:00.416831+00:00,4436995.24518051,3085455.413839301,3376463.7678760807,-367.5340919555824,5,"E07,E15,E21,E29,E34",36.90886198176041,[ 4.43699525e+06  3.08545541e+06  3.37646377e+06 -3.67534092e+02],32.169014744113575,34.814480852370686,287.5461211837828,2040.951480462077
2026-03-22 06:46:10.416831+00:00,4436858.154470694,3085352.0515445843,3376416.422502649,-505.6263951986569,5,"E07,E15,E21,E29,E34",779.6148577874726,[ 4.43685815e+06  3.08535205e+06  3.37641642e+06 -5.05626395e+02],32.169477057903556,34.81441095274572,117.11318636778742,17.809888004218845
2026-03-22 06:46:12.416831+00:00,4436998.8161831675,3085412.3942734813,3376455.2077978556,-408.7783306692735,5,"E07,E15,E21,E29,E34",35.90730918722403,[ 4.43699882e+06  3.08541239e+06  3.37645521e+06 -4.08778331e+02],32.16905324605539,34.81408478850286,264.6801733765751,78.9481814402782
2026-03-22 06:46:14.416831+00:00,4437022.823841722,3085413.9967680615,3376468.3087472115,-397.06888038371824,5,"E07,E15,E21,E29,E34",31.46303499741065,[ 4.43702282e+06  3.08541400e+06  3.37646831e+06 -3.97068880e+02],32.16905422304211,34.81395342501839,289.1143795354292,13.698271169764434
2026-03-22 06:46:20.416831+00:00,4437056.576049909,3085391.5884868195,3376476.1385650085,-398.57898754153194,5,"E07,E15,E21,E29,E34",36.33031893007565,[ 4.43705658e+06  3.08539159e+06  3.37647614e+06 -3.98578988e+02],32.16904236718094,34.813554087991115,305.91079695522785,6.877193937757884
