time,x,y,z,velocity_mps,num_sats,satellites,rms_residual_m,lat_deg,lon_deg,alt_m,kept_measurement
2026-03-22 06:44:38.416831+00:00,4436434.664088352,3084667.170982291,3375939.4239800437,,5,"E07,E21,E29,G11,G24",57.32867932893976,32.16938262290857,34.81101238133955,-762.1374468058348,False
2026-03-22 06:44:40.416831+00:00,4433510.204955143,3081544.4559108634,3375085.275815331,2181.36309027243,5,"E07,E30,G06,G12,G25",133.10834952452538,32.18296012400481,34.80152137580101,-4758.129795189947,False
2026-03-22 06:44:42.416831+00:00,4436109.815462074,3084405.1047359807,3376174.037329788,2007.9023957700094,5,"E07,E27,E30,G11,G24",24.94838896078538,32.17317304338325,34.81069721907659,-989.6150573743507,True
2026-03-22 06:44:44.416831+00:00,4436082.487780564,3084399.420860739,3376152.1452742927,17.73676061367951,5,"E07,E27,E30,G11,G24",15.632179628908913,32.17312925179569,34.81081316562295,-1023.0104053597897,True
2026-03-22 06:44:46.416831+00:00,4436609.793247357,3085156.4444628553,3376736.661523831,546.0757812440073,5,"E27,E30,G11,G24,G29",92.22708070378536,32.17343682078797,34.814211619885604,20.498919810168445,False
2026-03-22 06:44:48.416831+00:00,4436613.891671677,3085164.164482736,3376739.7665843763,4.637811710697561,5,"E27,E30,G11,G24,G29",91.39071150029561,32.17342320018344,34.81425401316846,28.731127966195345,False
2026-03-22 06:44:50.416831+00:00,4433078.934554477,3082343.3192239073,3382551.2282231087,3681.9212434935494,5,"E15,E29,G01,G11,G24",1624506.9998309847,32.239459443600175,34.811094259090446,-692.2614207658917,False
2026-03-22 06:44:52.416831+00:00,4436593.450434435,3085156.8807898434,3376733.1779627474,3678.2352897782107,5,"E27,E30,G11,G24,G29",85.9185148855853,32.17347346401327,34.81431434618069,7.497669029980898,False
2026-03-22 06:44:54.416831+00:00,4436595.109518239,3085156.7145204735,3376728.646684373,2.4141607382589516,5,"E27,E30,G11,G24,G29",92.0361270351806,32.17343279112675,34.81430285584508,6.157437552697957,False
2026-03-22 06:44:56.416831+00:00,4438485.891448057,3087412.276219235,3377489.58603356,1520.0035835637389,5,"E07,E15,E27,G06,G12",595.362363234101,32.165606502246206,34.8224875952592,2815.4147428972647,False
2026-03-22 06:44:58.416831+00:00,4438478.610596968,3087383.598448176,3377446.5606349315,26.10847694052886,5,"E07,E15,E27,G06,G12",574.2266275729,32.16538546451608,34.82228217100892,2773.5873042363673,False
2026-03-22 06:45:00.416831+00:00,4438449.879193054,3087355.6538526416,3377425.8843504293,22.549405376209997,5,"E07,E15,E27,G06,G12",561.8375315451066,32.16541745446919,34.82221292910908,2729.1056687328964,False
2026-03-22 06:45:02.416831+00:00,4438400.848723085,3087276.6185137453,3377354.5987776527,58.59224493461929,5,"E07,E15,E27,G06,G12",524.7378780434278,32.16528323377829,34.82182204740218,2618.878553710878,False
2026-03-22 06:45:04.416831+00:00,4437903.685881634,3086441.126683864,3376527.426915261,638.2457948647894,5,"E15,E27,G06,G12,G29",78.65863095862994,32.16321893553594,34.81756127637497,1429.1826008129865,False
2026-03-22 06:45:06.416831+00:00,4438179.672877355,3086949.1222724146,3377038.1645651245,385.7075598111806,5,"E07,E15,E27,G06,G12",370.24552190343496,32.164637318362985,34.820311220187236,2138.414354743436,False
2026-03-22 06:45:08.416831+00:00,4436448.813012494,3084698.4093666263,3375878.3680764493,1533.518205892216,5,"E07,E21,E29,G11,G24",66.96440378207494,32.168775078227526,34.81119869301542,-769.7159868814051,False
2026-03-22 06:45:10.416831+00:00,4438225.944828186,3087027.213150283,3377115.9622556944,1590.0600543392122,5,"E07,E15,E27,G06,G12",408.1852174784754,32.1648347163652,34.82071062866439,2249.7337012756616,False
2026-03-22 06:45:12.416831+00:00,4438244.216239689,3087064.3456447166,3377157.493322475,29.315081993313942,5,"E07,E15,E27,G06,G12",428.72640235962496,32.16497790628313,34.820923123442086,2302.4895157152787,False
2026-03-22 06:45:14.416831+00:00,4438236.680111701,3087049.799758602,3377143.8159541325,10.67059549288639,5,"E07,E15,E27,G06,G12",421.5261123917182,32.16494308345334,34.82084217497232,2282.9399860724807,False
2026-03-22 06:45:16.416831+00:00,4438238.546151903,3087048.503548743,3377143.6223378372,1.140148379167676,5,"E07,E15,E27,G06,G12",422.5341488757476,32.16493780623681,34.820819604979405,2283.5071516288444,False
2026-03-22 06:45:18.416831+00:00,4438259.953002785,3087080.0818559383,3377169.7242669263,23.112515290189666,5,"E07,E15,E27,G06,G12",436.4716376240007,32.16496612092575,34.8209648008446,2327.543370827101,False
2026-03-22 06:45:20.416831+00:00,4436642.165191897,3085611.539524114,3376078.093713576,1221.21980478797,5,"E07,E15,E30,G12,G32",68.34805626715446,32.16703445321067,34.817977038610934,-87.70850493200123,False
2026-03-22 06:45:22.416831+00:00,4436863.175808298,3085580.3828611476,3376309.3579696747,160.701265052718,6,"E07,E15,E27,E30,G25,G32",22.067524766394843,32.1680141072992,34.81636799955855,173.9495182260871,True
2026-03-22 06:45:24.416831+00:00,4436430.643718836,3084687.2921671,3375881.623968015,540.2895918822052,5,"E07,E21,E29,G11,G24",68.38980630770381,32.16890204374752,34.81121189168738,-785.9822744503617,False
2026-03-22 06:45:26.416831+00:00,4436641.469270328,3085619.250618404,3376084.152115938,488.367591783927,5,"E07,E15,E30,G12,G32",65.66239375691944,32.16706230639735,34.8180483693404,-81.23972398974001,False
2026-03-22 06:45:28.416831+00:00,4436352.93926764,3084628.705285563,3376053.157487043,516.0887244175818,5,"E07,E29,E34,G11,G24",9.87176389895859,32.17067856922688,34.81117220651513,-776.9672032445669,True
2026-03-22 06:45:30.416831+00:00,4436864.017531129,3085568.3995430213,3376305.083293275,549.4754090848814,6,"E07,E15,E27,E30,G25,G32",23.064160534167893,32.16801100733261,34.81625860173966,166.46707006450742,True
2026-03-22 06:45:32.416831+00:00,4436424.853006853,3084688.3844974814,3375863.422255083,539.0631763568833,5,"E07,E21,E29,G11,G24",75.16329211617753,32.168782918443824,34.811256454400144,-799.1698153382167,False
2026-03-22 06:45:34.416831+00:00,4438184.559894171,3086958.5807578503,3377047.5775319785,1553.430325897033,5,"E07,E15,E27,G06,G12",370.4380136354896,32.164663978448544,34.82036393991171,2151.3935452448204,False
2026-03-22 06:45:36.416831+00:00,4436641.867741189,3085619.3417168274,3376082.7192298775,1129.6472713865724,5,"E07,E15,E30,G12,G32",84.73764038310283,32.16704954769344,34.818046750103484,-81.68162992782891,False
2026-03-22 06:45:38.416831+00:00,4436607.328110576,3085157.249428114,3376735.7342187813,400.3594775649969,5,"E27,E30,G11,G24,G29",93.32461378612506,32.17343725428755,34.81423354926284,18.681035512126982,False
2026-03-22 06:45:40.416831+00:00,4436196.590696812,3085002.8827750767,3376621.457311771,226.7120961215699,5,"E15,E27,E30,G11,G29",191.2519539916135,32.174607520293534,34.815376202965275,-402.19987873733044,False
2026-03-22 06:45:42.416831+00:00,4436287.256573524,3085276.433017801,3376853.545411333,185.01008246375198,5,"E27,E30,G11,G25,G32",103.72428786634536,32.17527162648385,34.81720863109469,-83.41027154959738,False
2026-03-22 06:45:44.416831+00:00,4436649.249057624,3085332.4839703334,3375710.124750746,600.3313824216981,5,"E15,E29,E34,G12,G25",44.95756927468226,32.16496237302078,34.815505163811046,-413.554954694584,False
2026-03-22 06:45:46.416831+00:00,4436903.756745903,3085473.312186531,3375785.3507024846,150.2212482353885,5,"E15,E29,G06,G12,G25",91.17774607986428,32.16414749608439,34.81519041055125,-128.5639914739877,False
2026-03-22 06:45:48.416831+00:00,4436407.281310112,3084666.1261303322,3375790.2497197,473.8304517531877,5,"E21,E29,G06,G12,G24",7.530705019834646,32.168354570952985,34.81116904123376,-861.0960736004636,True
2026-03-22 06:45:50.416831+00:00,4436287.888011589,3085269.2037280886,3376855.459746128,614.9450684920804,5,"E27,E30,G11,G25,G32",105.30015564082305,32.175303571173274,34.81714187781413,-85.44580700434744,False
