time,x,y,z,velocity_mps,num_sats,satellites,rms_residual_m,lat_deg,lon_deg,alt_m
2026-03-22 06:44:42.416831+00:00,4436140.106055243,3084459.114450178,3376176.1210555783,4.559725689135088,5,"E07,E27,E30,G11,G24",24.94838896078538,32.172921435691435,34.81098409037373,-941.3566616419703
2026-03-22 06:44:44.416831+00:00,4436150.368779454,3084476.8820737423,3376177.1594822058,10.272417987269293,5,"E07,E27,E30,G11,G24",15.632179628908913,32.172840184208546,34.811076657385065,-925.0859698662534
2026-03-22 06:45:22.416831+00:00,4436629.144693732,3085184.4922947106,3376238.779396554,15.425324533982025,6,"E07,E15,E27,E30,G25,G32",22.067524766394843,32.1694830849861,34.81433863384164,-217.59815310221165
2026-03-22 06:45:28.416831+00:00,4436668.398929857,3085232.027994587,3376224.3277471573,8.732952048912582,5,"E07,E29,E34,G11,G24",9.87176389895859,32.16908771291485,34.81451480746806,-175.03960289340466
2026-03-22 06:45:30.416831+00:00,4436675.819089608,3085241.715445161,3376214.975213472,7.68725171463312,6,"E07,E15,E27,E30,G25,G32",23.064160534167893,32.16896051180434,34.814554218335665,-170.1806189296767
2026-03-22 06:45:48.416831+00:00,4436662.851443698,3085239.123257479,3376049.3198772212,9.377953111316769,5,"E21,E29,G06,G12,G24",7.530705019834646,32.16775414662092,34.81461015029465,-268.64185560308397
2026-03-22 06:45:54.416831+00:00,4436659.054153841,3085223.0502699697,3376014.5970153795,4.673983784519103,5,"E15,E29,E34,G12,G25",31.324752272797,32.16754810057358,34.81449322461849,-297.53506136871874
2026-03-22 06:46:08.416831+00:00,4436737.349161765,3085146.699716528,3376068.6286991513,15.430766357725442,5,"E13,E27,E30,G25,G32",13.26484762599974,32.16786122987025,34.81335467478137,-251.25342405587435
2026-03-22 06:46:12.416831+00:00,4436771.435500806,3085093.1341022,3376098.3037079973,17.95735369448141,5,"E07,E21,E29,G11,G19",23.86714162869257,32.16810022638454,34.812682066315965,-237.6510513620451
2026-03-22 06:46:14.416831+00:00,4436787.912289331,3085062.8735681595,3376111.944319387,18.52869908810368,5,"E07,E21,E29,G11,G19",26.78099246098918,32.16822235139535,34.81231891652288,-233.56106893904507
2026-03-22 06:46:26.416831+00:00,4436869.28842756,3084894.3077084273,3376166.5933877775,12.123024336485484,5,"E07,E21,E29,G11,G19",23.38256907212784,32.16878078079389,34.810358979870934,-229.3667674874887
2026-03-22 06:46:32.416831+00:00,4436902.629216415,3084864.8038740894,3376189.508208251,7.390183491927346,5,"E07,E21,E29,G11,G19",30.001135758286182,32.16890513975793,34.80990034296405,-208.25149708706886
2026-03-22 06:46:44.416831+00:00,4436957.199248738,3084874.2225987236,3376237.700083273,4.231654410251917,5,"E15,E27,E30,G12,G24",29.365563267985852,32.16903208000366,34.809652049707644,-140.11552941799164
2026-03-22 06:46:48.416831+00:00,4436968.200554324,3084855.9796611625,3376234.5822680155,6.808297182944413,5,"E07,E21,E29,G11,G19",30.153826424739236,32.169014911831795,34.80942665585219,-142.9447722453624
2026-03-22 06:46:50.416831+00:00,4436971.8859365005,3084839.115605513,3376226.9885271266,9.429253886405814,5,"E07,E21,E29,G11,G19",40.52007165056294,32.16898863719451,34.809257544349045,-152.57535607274622
2026-03-22 06:46:54.416831+00:00,4436976.579212402,3084795.527364769,3376203.1946109817,13.232015615644974,5,"E07,E21,E29,G11,G19",18.596354531071096,32.16890796827714,34.80884968945209,-183.04398317821324
2026-03-22 06:46:56.416831+00:00,4436978.024279263,3084771.309597213,3376188.782179809,14.109453000933838,5,"E07,E21,E29,G11,G19",37.87842335004413,32.16885862757164,34.808630118635804,-201.41520592104644
2026-03-22 06:46:58.416831+00:00,4436979.426572597,3084750.685993719,3376176.244571603,12.088125032462967,5,"E07,E21,E29,G11,G19",22.439922086003065,32.16881391583949,34.80844209444106,-217.08119430951774
2026-03-22 06:47:00.416831+00:00,4436980.904473771,3084733.583901375,3376165.46493003,10.134920163212984,5,"E07,E21,E29,G11,G19",27.93389968584599,32.168772673682284,34.80828426830488,-230.05701895523816
2026-03-22 06:47:02.416831+00:00,4436982.524230137,3084719.945197852,3376156.466318673,8.209945962549076,5,"E07,E21,E29,G11,G19",23.016324481464068,32.16873497548453,34.8081557336194,-240.31246258877218
2026-03-22 06:47:04.416831+00:00,4436984.338839571,3084709.0856624516,3376148.852809233,6.693053161686658,5,"E13,E19,E30,G12,G24",41.355379569131244,32.16869946533071,34.8080502133924,-248.35211863089353
2026-03-22 06:47:06.416831+00:00,4436986.294166981,3084700.463102893,3376142.3631384126,5.483786693102208,5,"E13,E21,E29,G11,G24",17.180240195970796,32.16866584834217,34.80796331536139,-254.6147084776312
2026-03-22 06:47:12.416831+00:00,4436992.386340514,3084683.3120908514,3376126.852244048,3.740395803821975,5,"E15,E27,E30,G12,G24",26.22981587974286,32.16857043012619,34.807777135095954,-266.9259974732995
2026-03-22 06:47:22.416831+00:00,4436959.566053335,3084626.841209013,3376034.791445835,18.928493112960936,5,"E07,E21,E29,G11,G19",30.13203709280358,32.16815180541685,34.80748415900075,-366.0374185470864
2026-03-22 06:47:26.416831+00:00,4436918.53198223,3084580.5967043443,3375961.8170983214,24.410916423221373,5,"E21,E29,G06,G12,G24",12.522893232622533,32.167883230379566,34.807329917687674,-455.7542986255139
