UTC_Time,Lat,Lon,Alt,Velocity (m/s)
2026-03-21 15:14:52,32.17041766232975,34.81640231016869,-4555.681646554731,0.0
2026-03-21 15:14:53,32.17046245693552,34.81644242635029,-4570.41263997741,16.0
2026-03-21 15:14:54,32.17041766232975,34.81640231016869,-4555.681646554731,16.0
2026-03-21 15:14:55,32.17037286791881,34.81636219421161,-4540.950647010468,16.0
2026-03-21 15:14:56,32.16591977739218,34.81225879352792,-2829.3106024228036,16.0
2026-03-21 15:14:57,32.167580636180055,34.815451171585494,-1811.5096978507936,16.0
2026-03-21 15:14:58,32.16612858059896,34.81332139690461,-353.7403086172417,16.0
2026-03-21 15:14:59,32.16606428198504,34.813299614073735,-336.4857252044603,18.78
2026-03-21 15:15:00,32.16606428198504,34.813299614073735,-336.4857252044603,0.0
2026-03-21 15:15:01,32.166048915320424,34.813136780475595,-296.9398263115436,0.0
2026-03-21 15:15:02,32.16606428198504,34.813299614073735,-336.4857252044603,0.0
2026-03-21 15:15:03,32.16612858059896,34.81332139690461,-353.7403086172417,18.78
2026-03-21 15:15:04,32.16811068679972,34.814416501457615,-994.2778826467693,18.78
2026-03-21 15:15:05,32.168125722014665,34.8144084171481,-996.9282874511555,3.22
2026-03-21 15:15:06,32.16926991565253,34.81600489019845,-1198.618769359775,3.22
2026-03-21 15:15:07,32.169286265174954,34.81600489019845,-1197.4786377567798,2.14
2026-03-21 15:15:08,32.169286265174954,34.81600489019845,-1197.4786377567798,0.0
2026-03-21 15:15:09,32.169546160579856,34.81600489019845,-1179.3547441344708,34.04
2026-03-21 15:15:10,32.16922166517213,34.81577078587766,-1076.3251243438572,34.04
2026-03-21 15:15:11,32.16791582633266,34.81497153096247,-680.1417067740113,34.04
2026-03-21 15:15:12,32.167455608059186,34.81253487660749,-185.68030996341258,34.04
2026-03-21 15:15:13,32.167259129369285,34.81358385582234,-85.04676534701139,34.04
2026-03-21 15:15:14,32.16833058233109,34.81362878232187,-6.838943418115377,34.04
2026-03-21 15:15:15,32.16811806135614,34.81334253702555,74.10000108368695,34.04
2026-03-21 15:15:16,32.16843273310939,34.81439699164132,211.0245141638443,34.04
2026-03-21 15:15:17,32.16841220240754,34.81438134818152,215.26453068107367,5.03
2026-03-21 15:15:18,32.16841923478257,34.81438134818152,215.75502502452582,0.92
2026-03-21 15:15:19,32.16843191765966,34.814391868860916,211.78850905690342,4.32
2026-03-21 15:15:20,32.168435442180375,34.814396393218054,211.16709672566503,0.85
2026-03-21 15:15:21,32.168435442180375,34.814396393218054,211.16709672566503,0.0
