time,x,y,z,velocity_mps,num_sats,satellites,rms_residual_m,lat_deg,lon_deg,alt_m
2026-03-21 15:14:54.418879+00:00,4435968.647431004,3084682.11499212,3375476.549384687,1.2091554995772908,5,"G08,G27,E06,E11,G32",7.331960821778818,32.16764500366406,34.813963617595604,-1325.2303306050599
2026-03-21 15:15:10.418879+00:00,4435979.131224519,3084678.476341355,3375449.4110345403,6.911254390895585,5,"G08,G27,E06,E11,G32",4.608424075197186,32.167406437510486,34.813868468257276,-1334.151123153977
2026-03-21 15:15:14.418879+00:00,4436021.783380845,3084696.5781724565,3375440.958816963,13.389159520315763,5,"G02,G10,G27,E06,E10",7.757943259335667,32.167124115717805,34.813767846588,-1300.2602812405676
2026-03-21 15:15:16.418879+00:00,4436050.866661174,3084709.0354288965,3375436.9735776307,15.944454876832078,5,"G10,G32,E02,E06,E10",41.760501883708486,32.16694487348019,34.81370023023009,-1276.1492020832375
2026-03-21 15:15:20.418879+00:00,4436118.216775199,3084738.0258041895,3375429.1362760575,19.01500540278002,5,"G32,E04,E09,E11,E36",3.6937110524735783,32.16654003024608,34.813544888023564,-1219.5036774929613
2026-03-21 15:15:22.418879+00:00,4436153.841293687,3084753.085285439,3375422.7496444755,19.600276502804892,5,"G02,G32,E02,E10,E36",22.18932937428863,32.166309535187274,34.81346032944283,-1190.8671101052314
2026-03-21 15:15:24.418879+00:00,4436188.430034608,3084767.493528578,3375411.8333486295,19.513738646271623,5,"G02,G32,E02,E10,E36",22.75596997897733,32.166050326022265,34.81337637279779,-1165.6765002403408
2026-03-21 15:15:28.418879+00:00,4436248.533073186,3084792.409741924,3375370.399025456,19.535646334779774,6,"G02,G32,E02,E10,E25,G27",6.684411588481716,32.165428716692034,34.81322944171141,-1133.9218414695933
2026-03-21 15:15:30.418879+00:00,4436269.927242547,3084801.7405753992,3375334.2917444212,21.49715492645691,6,"G10,G23,G32,E02,E12,G27",3.3576797571424213,32.1650431094205,34.813181160726835,-1133.7655698126182
2026-03-21 15:15:32.418879+00:00,4436288.832851222,3084810.4251816985,3375295.350702751,22.075150918471042,5,"G10,G27,E02,E06,E10",31.941625417142284,32.16464744749284,34.81314231909485,-1137.1594548113644
